"RecID";"FullName";"GD";"CalculatedDate";"BirthDate";"Description";"Mobile";"Landline";"Email";"dpadirectmailingoptoutcode";"dpaemailoptoutcode";"dpatelephonecommunicationoptoutcode";"titleCode";"SourceName";"SourceLayerName";"tmp_RuleConditionMet";"tmp_PreviousRuleConditionMet";"tmp_PreviousRuleCodeLA";"tmp_RuleCodeLA";"DQM_Score";"DQM_GlobalRecordID";"DQM_RecordID";"DQM_RecordScore";"DQM_RecordExplanation";"DQM_RuleCodesApplied";"DQM_RuleCodesAppliedLA";"DQM_RuleCodesAppliedLAGuid";"DQM_RuleCodesAppliedMappings";"DQM_RuleCodesAppliedForFilter";"DQM_RuleCodesAppliedLAForFilter";"DQM_RuleCodesAppliedLAFiltered";"DQM_RuleCodesFailed";"DQM_RuleCodesFailedLA";"Ex_BeginAggregation"
4;"Dr. J.W. Smith";"M";"16.01.2018";"16.11.1978";;;"44-785-558-2465";"john.smith@.com";;;"4";"Z050";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:4";"4";10;"COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"3abfa901-0006-4ca1-b4b5-30be19600f6c a2c04689-6f2d-4101-9dbb-357888b6dd0b 755796c5-a1a6-49ad-a438-c62ccfd6c5a6 dea1e796-6c84-4524-8e77-2239d29f57c9";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"1";"1.Mobile";
14;"Denisse Smith";"F";"1979-11-16";"1979-11-17";"07801211963";;"44-755-557-8916";"john.w.smith@gmail.com";"3";"4";"2";"Z049";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:14";"14";10;"COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"659e452e-3c30-4ee0-bcba-3542ec88e6ee 7c779b5f-e294-41a9-b982-dde092966567 eb3be17e-bcff-4dbc-a57a-7f34d1a13427 8eb2c121-6a15-4588-87f3-4501eb2111a5";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"1";"1.Mobile";
20;"Whitney Bhatnagar";"F";"1941-06-28";"1941-06-29";"SMID:123456";;"44-735-556-2395 44-765-550-5516";;"3";"2";"3";;"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:20";"20";10;"COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"e143fdf4-0132-4bc6-987f-f7c9d94bb40e 3b39e7d5-cc10-441d-b18a-efb098497e30 6580b38b-a4e7-4036-baee-5fd6e45019e2 f7645832-9b3f-4abb-941b-99abe4fca72b";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"1";"1.Mobile";
26;"Harmeyer Karen";"F";"2001-06-13";"2001-06-14";"07801211963";;"44-765-555-3849";"john.w.smith@gmail.com";"4";"1";"4";"Z021";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:26";"26";10;"COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"9d44de97-18ac-43ed-a7b2-01bd81af9810 cd7fbc23-acf2-41a2-8f7c-5c315eb4b2e6 d3829e66-60a3-4ab4-9846-283f55181913 68c8fda9-955d-410e-bc5c-e48221f3be05";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"1";"1.Mobile";
3;"John William Smith";;"16.12.1978";"781216";;;"44-715-553-5678";"jane.watson@gmail.com";"4";"4";"3";"Z049";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:3";"3";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"0ebdaf56-b0fa-409b-97c4-da29314c0bc3 0ee8edf2-9226-4558-8307-2fe8bf6f8453 fee07f9e-0a9c-4285-9f49-28261e194e4a e004aec7-567f-432a-bb28-ffb06cb19759";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
6;"Mr Smith John";;"16.11.1978";"2001.07.01";"SMID:123456";;"44-755-553-2265";"john.w.smith@gmail.com";"4";"1";"4";"Z021";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:6";"6";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"f0cde4e0-06d4-4c83-8283-a91dedef4587 2a5b3c22-30d0-438c-8615-1109b18ac50b d7909707-76e6-4fc6-8ce9-19c6abdcc9af 682266f1-a11d-41b1-9961-fb658305a71d";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
53;"Deemer Wenona Mrs";;"1939-05-11";"1939-05-12";;;"44-785-551-5072";"jane.watson@gmail.com";"2";"3";"4";"Z049";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:53";"53";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"5bd0bd9a-c083-461a-ae90-0ac4f0070517 2be10b91-782c-4ef0-8e68-d19017dd13a1 c8c33a29-5d3f-4827-92db-3aee4335ce44 ed783a72-96ce-489e-8735-0fb32828ea5c";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
60;"Loriann Blaydon";;"2001.07.01";"2001.07.01";;;"44-735-559-5617";;"3";"2";"3";"Z049";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:60";"60";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"dfcffec0-2c85-461b-a70d-8880011bb7d2 ebbd2faa-8f21-4cfd-a3a7-a0b2c9c9f407 f89fcb59-f966-471f-9697-c78ffdb3f00c 8b22f601-655e-4680-9a59-d58c47fad365";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
62;"Armstead Eryn";;"2003-12-06";"2003-12-06";;;"44-765-552-2659,44-765-558-4808";"jane.watson@gmail.com";;;;"Z051";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:62";"62";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"59495a1c-7bd4-4472-bb45-8e503fdfe1a9 48e42bf6-b21e-4e78-8503-033e4575b285 b740ca91-22f1-4dab-8007-19ef8d502890 4224c43c-06a5-4603-ae8e-a0de4590a57e";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
67;"Steven Govin";;"1952-12-18";"1952-12-19";;;"44-725-553-8386";"john.will.smith@gmail.com";;;;"Z046";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:67";"67";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"0d59aa4f-55bd-4b62-a684-2c92c21051e0 b31674d9-f07d-4c0e-a492-040ecd3ba3eb aa4d32ff-8d26-401d-a8d6-dec951883371 b5b618d8-91ca-4fbd-8dec-c1bb8006cb73";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
69;"Glynis Schnitzer BDS";;"2001-05-06";"2001-05-07";;;"44-735-557-6210,44-765-558-4808";;"3";"4";"4";"Z050";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:69";"69";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"4dff3cc7-b7f2-4758-a39a-d73610230b66 cbf921c5-0d39-4f60-82c9-ef5198d486f0 d8bd2461-fb5d-4768-a163-9fd9cf0d096d c744a165-a6ef-42e8-9214-4ee6d5722ac7";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
75;"Ms Blaszczyk Chantel";;"NULL";"NULL";;;"44-755-555-1074";"john.smith@gmail.com";"4";"4";"1";;"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:75";"75";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"95ef433a-1a0d-4479-bf13-47ed3a396473 ba49ec41-e2ed-4952-918f-f019719559fe a6d42aba-7b19-4527-a744-055fbca2135c 9c8a9030-78b2-467d-8b2a-de92b3993e87";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
77;"Ms Krystle Kulseth";;"2003-12-06";"2003-12-06";;;"44-785-556-7991";"john.will.smith@gmail.com";"4";"3";"2";"Z049";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:77";"77";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"ff39b037-d50e-426b-bf6c-84445d5943d5 fd2d0733-ffed-4e2e-857b-31dc13f5372c df316182-3294-4b72-affa-050909cfaa4a 5633e160-fa2d-455e-b363-82d788606edd";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
