"item-value";"item-index";"item-count";"stat-multiple";"stat-type";"ProfileInternalColumnName";"ProfileSourceAttributeType";"ProfileSourceAttributeName";"ProfileInputName"
"1";0;;"true";"quantiles";"S_0";"LONG";"RecID";"in"
"10";9;;"true";"quantiles";"S_0";"LONG";"RecID";"in"
"20";19;;"true";"quantiles";"S_0";"LONG";"RecID";"in"
"30";29;;"true";"quantiles";"S_0";"LONG";"RecID";"in"
"40";39;;"true";"quantiles";"S_0";"LONG";"RecID";"in"
"50";49;;"true";"quantiles";"S_0";"LONG";"RecID";"in"
"60";59;;"true";"quantiles";"S_0";"LONG";"RecID";"in"
"70";69;;"true";"quantiles";"S_0";"LONG";"RecID";"in"
"80";79;;"true";"quantiles";"S_0";"LONG";"RecID";"in"
"90";89;;"true";"quantiles";"S_0";"LONG";"RecID";"in"
"101";99;;"true";"quantiles";"S_0";"LONG";"RecID";"in"
"A. Whitman";0;;"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Carline McPheron";9;;"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Dirkse Jazmine";19;;"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Handon Donette";29;;"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Karen Wolf";39;;"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Maryln Szigethy";49;;"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Mrs Jehlicka Lorenza";59;;"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Ms. Chelsie Channel";69;;"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Raza Mattie";79;;"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Tisch Elizebeth";89;;"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Zoll Kelvin";99;;"true";"quantiles";"S_1";"STRING";"FullName";"in"
"f";0;;"true";"quantiles";"S_2";"STRING";"GD";"in"
"f";0;;"true";"quantiles";"S_2";"STRING";"GD";"in"
"F";7;;"true";"quantiles";"S_2";"STRING";"GD";"in"
"F";7;;"true";"quantiles";"S_2";"STRING";"GD";"in"
"Fem";24;;"true";"quantiles";"S_2";"STRING";"GD";"in"
"Female";29;;"true";"quantiles";"S_2";"STRING";"GD";"in"
"femle";36;;"true";"quantiles";"S_2";"STRING";"GD";"in"
"M";40;;"true";"quantiles";"S_2";"STRING";"GD";"in"
"Mail";48;;"true";"quantiles";"S_2";"STRING";"GD";"in"
"Mal";53;;"true";"quantiles";"S_2";"STRING";"GD";"in"
"phemail";60;;"true";"quantiles";"S_2";"STRING";"GD";"in"
"01\\01\\1998";0;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in"
"16.12.1978";8;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in"
"1949-03-13";19;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in"
"1957-07-20";29;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in"
"1968-12-10";38;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in"
"1984-05-21";48;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in"
"2001-01-01";58;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in"
"2001.07.01";62;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in"
"2003-12-06";75;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in"
"4038-11-20";87;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in"
"NULL";94;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in"
"01\\01\\1998";0;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"1940-02-10";9;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"1952-12-19";19;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"1959-12-05";29;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"1978-07-21";39;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"1989-05-03";48;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"2001-06-14";58;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"2001.07.01";59;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"2003-12-06";73;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"5.1.1982";86;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"NULL";95;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"07801211963";0;;"true";"quantiles";"S_5";"STRING";"Description";"in"
