"item-value";"item-index";"item-count";"stat-multiple";"stat-type";"ProfileInternalColumnName";"ProfileSourceAttributeType";"ProfileSourceAttributeName";"ProfileInputName";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value"
"18";0;1;"true";"first_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"34";1;1;"true";"first_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"35";2;1;"true";"first_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"36";3;1;"true";"first_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"39";4;1;"true";"first_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"91";6;1;"true";"last_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"41";5;1;"true";"last_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"39";4;1;"true";"last_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"36";3;1;"true";"last_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"35";2;1;"true";"last_x";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"18";0;;"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"18";0;;"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"34";1;;"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"35";2;;"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"35";2;;"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"36";3;;"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"39";4;;"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"39";4;;"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"41";5;;"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"91";6;;"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"91";6;;"true";"quantiles";"S_0";"LONG";"RecID";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Aguila Ammie";0;1;"true";"first_x";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Aleshia Kaszton";1;1;"true";"first_x";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Carline McPheron";2;1;"true";"first_x";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Condell Leandra";3;1;"true";"first_x";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Dirkse Jazmine";4;1;"true";"first_x";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Tryninewski Honey";6;1;"true";"last_x";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Magill Melodie";5;1;"true";"last_x";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Dirkse Jazmine";4;1;"true";"last_x";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Condell Leandra";3;1;"true";"last_x";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Carline McPheron";2;1;"true";"last_x";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Aguila Ammie";0;;"true";"quantiles";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Aguila Ammie";0;;"true";"quantiles";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Aleshia Kaszton";1;;"true";"quantiles";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Carline McPheron";2;;"true";"quantiles";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Carline McPheron";2;;"true";"quantiles";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Condell Leandra";3;;"true";"quantiles";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Dirkse Jazmine";4;;"true";"quantiles";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Dirkse Jazmine";4;;"true";"quantiles";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Magill Melodie";5;;"true";"quantiles";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Tryninewski Honey";6;;"true";"quantiles";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"Tryninewski Honey";6;;"true";"quantiles";"S_1";"STRING";"FullName";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"f";0;7;"true";"first_x";"S_2";"STRING";"GD";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"f";0;7;"true";"last_x";"S_2";"STRING";"GD";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"f";0;;"true";"quantiles";"S_2";"STRING";"GD";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"f";0;;"true";"quantiles";"S_2";"STRING";"GD";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"f";0;;"true";"quantiles";"S_2";"STRING";"GD";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"f";0;;"true";"quantiles";"S_2";"STRING";"GD";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"f";0;;"true";"quantiles";"S_2";"STRING";"GD";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"f";0;;"true";"quantiles";"S_2";"STRING";"GD";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"f";0;;"true";"quantiles";"S_2";"STRING";"GD";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"f";0;;"true";"quantiles";"S_2";"STRING";"GD";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"f";0;;"true";"quantiles";"S_2";"STRING";"GD";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"f";0;;"true";"quantiles";"S_2";"STRING";"GD";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"f";0;;"true";"quantiles";"S_2";"STRING";"GD";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1949-03-13";0;1;"true";"first_x";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1949-03-29";1;1;"true";"first_x";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1958-02-01";2;1;"true";"first_x";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1963-03-13";3;1;"true";"first_x";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1968-12-10";4;1;"true";"first_x";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"N/A";6;1;"true";"last_x";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1978-07-20";5;1;"true";"last_x";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1968-12-10";4;1;"true";"last_x";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1963-03-13";3;1;"true";"last_x";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1958-02-01";2;1;"true";"last_x";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1949-03-13";0;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1949-03-13";0;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1949-03-29";1;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1958-02-01";2;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1958-02-01";2;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1963-03-13";3;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1968-12-10";4;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1968-12-10";4;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1978-07-20";5;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"N/A";6;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"N/A";6;;"true";"quantiles";"S_3";"STRING";"CalculatedDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1949-03-14";0;1;"true";"first_x";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1949-03-30";1;1;"true";"first_x";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1958-02-00";2;1;"true";"first_x";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1963-03-14";3;1;"true";"first_x";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1968-12-11";4;1;"true";"first_x";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"N/A";6;1;"true";"last_x";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1978-07-21";5;1;"true";"last_x";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1968-12-11";4;1;"true";"last_x";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1963-03-14";3;1;"true";"last_x";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1958-02-00";2;1;"true";"last_x";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1949-03-14";0;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1949-03-14";0;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1949-03-30";1;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1958-02-00";2;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1958-02-00";2;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1963-03-14";3;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1968-12-11";4;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1968-12-11";4;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"1978-07-21";5;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"N/A";6;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"N/A";6;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"07801211963";0;1;"true";"first_x";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"HI:123456";1;1;"true";"first_x";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"HI:123456";1;1;"true";"last_x";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"07801211963";0;1;"true";"last_x";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"07801211963";0;;"true";"quantiles";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"07801211963";0;;"true";"quantiles";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"07801211963";0;;"true";"quantiles";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"07801211963";0;;"true";"quantiles";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"07801211963";0;;"true";"quantiles";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"07801211963";0;;"true";"quantiles";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"HI:123456";1;;"true";"quantiles";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"HI:123456";1;;"true";"quantiles";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"HI:123456";1;;"true";"quantiles";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"HI:123456";1;;"true";"quantiles";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"HI:123456";1;;"true";"quantiles";"S_5";"STRING";"Description";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900005 44 7700 900489";0;1;"true";"first_x";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900059,44 7700 900059";1;1;"true";"first_x";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900389";2;1;"true";"first_x";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900525";3;1;"true";"first_x";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900556";4;1;"true";"first_x";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900875 44 7700 900489";6;1;"true";"last_x";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900625 44 7700 900489";5;1;"true";"last_x";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900556";4;1;"true";"last_x";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900525";3;1;"true";"last_x";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900389";2;1;"true";"last_x";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900005 44 7700 900489";0;;"true";"quantiles";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900005 44 7700 900489";0;;"true";"quantiles";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900059,44 7700 900059";1;;"true";"quantiles";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900389";2;;"true";"quantiles";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900389";2;;"true";"quantiles";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900525";3;;"true";"quantiles";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900556";4;;"true";"quantiles";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900556";4;;"true";"quantiles";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900625 44 7700 900489";5;;"true";"quantiles";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900875 44 7700 900489";6;;"true";"quantiles";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"44 7700 900875 44 7700 900489";6;;"true";"quantiles";"S_6";"STRING";"Mobile";"in";"GD";"S_2";"ru_RollupOnGD";"f"
"dr.john.smith@gmail.c";0;1;"true";"first_x";"S_7";"STRING";"Email";"in";"GD";"S_2";"ru_RollupOnGD";"f"
