"ProfileInternalColumnName";"ProfileInputName";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value";"count";"count_nulls";"count_not_nulls";"distinct";"unique";"min";"max";"median";"sum";"avg";"std";"var";"non_unique";"duplicate";"min_positive_length";"min_length";"max_length";"avg_length";"median_length";"domain";"ProfileSourceAttributeType";"ProfileSourceAttributeName"
"S_1";"in";"GD";"S_2";"ru_RollupOnGD";"fmale";"2";"0";"2";"2";"2";"Choulnard Mollie";"Handon Donette";"Handon Donette";;;;;"0";"0";"14";"14";"16";"15";"14";"enum pattern";"STRING";"FullName"
"S_4";"in";"GD";"S_2";"ru_RollupOnGD";"Male";"1";"0";"1";"1";"1";"1944-08-06";"1944-08-06";"1944-08-06";;;;;"0";"0";"10";"10";"10";"10";"10";"day oneval pattern";"STRING";"BirthDate"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"femal";"1";"0";"1";"1";"1";"2";"2";"2";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directmailing"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"male";"2";"0";"2";"2";"2";"2";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directmailing"
"S_0";"in";"GD";"S_2";"ru_RollupOnGD";"mail";"1";"0";"1";"1";"1";"73";"73";"73";"73";"73";"0";"0";"0";"0";;;;;;"oneval";"LONG";"RecID"
"S_0";"in";"GD";"S_2";"ru_RollupOnGD";"null";"39";"0";"39";"39";"39";"3";"101";"62";"2351";"60.2820512821";"27.2386873417";"741.9460880999";"0";"0";;;;;;;"LONG";"RecID"
"S_0";"in";"GD";"S_2";"ru_RollupOnGD";"phemail";"1";"0";"1";"1";"1";"21";"21";"21";"21";"21";"0";"0";"0";"0";;;;;;"oneval";"LONG";"RecID"
"S_3";"in";"GD";"S_2";"ru_RollupOnGD";"femal";"1";"0";"1";"1";"1";"1943-05-17";"1943-05-17";"1943-05-17";;;;;"0";"0";"10";"10";"10";"10";"10";"day oneval pattern";"STRING";"CalculatedDate"
"S_5";"in";"GD";"S_2";"ru_RollupOnGD";"femle";"1";"1";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"Description"
"S_9";"in";"GD";"S_2";"ru_RollupOnGD";"mle";"2";"0";"2";"2";"2";"1";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directemail"
"S_11";"in";"GD";"S_2";"ru_RollupOnGD";"femle";"1";"0";"1";"1";"1";"Z049";"Z049";"Z049";;;;;"0";"0";"4";"4";"4";"4";"4";"oneval pattern";"STRING";"titleCode"
"S_0";"in";"GD";"S_2";"ru_RollupOnGD";"Fem";"1";"0";"1";"1";"1";"66";"66";"66";"66";"66";"0";"0";"0";"0";;;;;;"oneval";"LONG";"RecID"
"S_11";"in";"GD";"S_2";"ru_RollupOnGD";"Femail";"3";"2";"1";"1";"1";"Z050";"Z050";"Z050";;;;;"0";"0";"4";"4";"4";"4";"4";"oneval pattern";"STRING";"titleCode"
"S_4";"in";"GD";"S_2";"ru_RollupOnGD";"Mail";"3";"0";"3";"2";"1";"2003-12-06";"NULL";"2003-12-06";;;;;"1";"1";"4";"4";"10";"8";"10";"enum pattern";"STRING";"BirthDate"
"S_10";"in";"GD";"S_2";"ru_RollupOnGD";"Femail";"3";"0";"3";"2";"1";"1";"4";"4";;;;;"1";"1";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directtelephone"
"S_1";"in";"GD";"S_2";"ru_RollupOnGD";"femal";"1";"0";"1";"1";"1";"Maldanado Madge";"Maldanado Madge";"Maldanado Madge";;;;;"0";"0";"15";"15";"15";"15";"15";"oneval pattern";"STRING";"FullName"
"S_9";"in";"GD";"S_2";"ru_RollupOnGD";"phemail";"1";"0";"1";"1";"1";"4";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directemail"
"S_2";"in";"GD";"S_2";"ru_RollupOnGD";"fem";"1";"0";"1";"1";"1";"fem";"fem";"fem";;;;;"0";"0";"3";"3";"3";"3";"3";"oneval pattern";"STRING";"GD"
"S_7";"in";"GD";"S_2";"ru_RollupOnGD";"Fem";"1";"0";"1";"1";"1";"john.w.smith@gmail.com";"john.w.smith@gmail.com";"john.w.smith@gmail.com";;;;;"0";"0";"22";"22";"22";"22";"22";"oneval pattern";"STRING";"Email"
"S_11";"in";"GD";"S_2";"ru_RollupOnGD";"Male";"1";"1";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"titleCode"
"S_10";"in";"GD";"S_2";"ru_RollupOnGD";"fem";"1";"0";"1";"1";"1";"1";"1";"1";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directtelephone"
"S_0";"in";"GD";"S_2";"ru_RollupOnGD";"M";"7";"0";"7";"7";"7";"1";"83";"16";"183";"26.1428571429";"27.6479323506";"764.4081632653";"0";"0";;;;;;"enum";"LONG";"RecID"
"S_3";"in";"GD";"S_2";"ru_RollupOnGD";"male";"2";"0";"2";"2";"2";"1956-05-16";"1972-09-00";"1972-09-00";;;;;"0";"0";"10";"10";"10";"10";"10";"enum pattern";"STRING";"CalculatedDate"
"S_0";"in";"GD";"S_2";"ru_RollupOnGD";"F";"16";"0";"16";"16";"16";"9";"99";"26";"661";"41.3125";"30.0223224243";"901.33984375";"0";"0";;;;;;"enum";"LONG";"RecID"
"S_0";"in";"GD";"S_2";"ru_RollupOnGD";"m";"1";"0";"1";"1";"1";"44";"44";"44";"44";"44";"0";"0";"0";"0";;;;;;"oneval";"LONG";"RecID"
"S_0";"in";"GD";"S_2";"ru_RollupOnGD";"f";"7";"0";"7";"7";"7";"18";"91";"36";"294";"42";"21.1660104885";"448";"0";"0";;;;;;"enum";"LONG";"RecID"
"S_1";"in";"GD";"S_2";"ru_RollupOnGD";"mle";"2";"0";"2";"2";"2";"Lupita Isidoro";"Sarmiento Olene";"Sarmiento Olene";;;;;"0";"0";"14";"14";"15";"14.5";"14";"enum pattern";"STRING";"FullName"
"S_2";"in";"GD";"S_2";"ru_RollupOnGD";"mal";"2";"0";"2";"1";"0";"mal";"mal";"mal";;;;;"1";"1";"3";"3";"3";"3";"3";"oneval pattern";"STRING";"GD"
"S_3";"in";"GD";"S_2";"ru_RollupOnGD";"fmale";"2";"0";"2";"1";"0";"2001.07.01";"2001.07.01";"2001.07.01";;;;;"1";"1";"10";"10";"10";"10";"10";"day oneval pattern";"STRING";"CalculatedDate"
"S_4";"in";"GD";"S_2";"ru_RollupOnGD";"Mal";"2";"0";"2";"2";"2";"1966-04-12";"2001-04-15";"2001-04-15";;;;;"0";"0";"10";"10";"10";"10";"10";"day enum pattern";"STRING";"BirthDate"
"S_1";"in";"GD";"S_2";"ru_RollupOnGD";"Male";"1";"0";"1";"1";"1";"Overland Spring";"Overland Spring";"Overland Spring";;;;;"0";"0";"15";"15";"15";"15";"15";"oneval pattern";"STRING";"FullName"
"S_0";"in";"GD";"S_2";"ru_RollupOnGD";"femle";"1";"0";"1";"1";"1";"23";"23";"23";"23";"23";"0";"0";"0";"0";;;;;;"oneval";"LONG";"RecID"
"S_5";"in";"GD";"S_2";"ru_RollupOnGD";"fem";"1";"1";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"Description"
