"item-value";"stat-multiple";"stat-type";"ProfileInternalColumnName";"ProfileSourceAttributeType";"ProfileSourceAttributeName";"ProfileInputName"
"100";"false";"count";"S_0";"LONG";"RecID";"in"
"0";"false";"count_nulls";"S_0";"LONG";"RecID";"in"
"100";"false";"count_not_nulls";"S_0";"LONG";"RecID";"in"
"100";"false";"distinct";"S_0";"LONG";"RecID";"in"
"100";"false";"unique";"S_0";"LONG";"RecID";"in"
"1";"false";"min";"S_0";"LONG";"RecID";"in"
"101";"false";"max";"S_0";"LONG";"RecID";"in"
"51";"false";"median";"S_0";"LONG";"RecID";"in"
"5051";"false";"sum";"S_0";"LONG";"RecID";"in"
"50.51";"false";"avg";"S_0";"LONG";"RecID";"in"
"28.883384497";"false";"std";"S_0";"LONG";"RecID";"in"
"834.2499";"false";"var";"S_0";"LONG";"RecID";"in"
"0";"false";"non_unique";"S_0";"LONG";"RecID";"in"
"0";"false";"duplicate";"S_0";"LONG";"RecID";"in"
"100";"false";"count";"S_1";"STRING";"FullName";"in"
"0";"false";"count_nulls";"S_1";"STRING";"FullName";"in"
"100";"false";"count_not_nulls";"S_1";"STRING";"FullName";"in"
"100";"false";"distinct";"S_1";"STRING";"FullName";"in"
"100";"false";"unique";"S_1";"STRING";"FullName";"in"
"A. Whitman";"false";"min";"S_1";"STRING";"FullName";"in"
"Zoll Kelvin";"false";"max";"S_1";"STRING";"FullName";"in"
"Mestrovich Jolanda";"false";"median";"S_1";"STRING";"FullName";"in"
"8";"false";"min_positive_length";"S_1";"STRING";"FullName";"in"
"8";"false";"min_length";"S_1";"STRING";"FullName";"in"
"21";"false";"max_length";"S_1";"STRING";"FullName";"in"
"15.36";"false";"avg_length";"S_1";"STRING";"FullName";"in"
"15";"false";"median_length";"S_1";"STRING";"FullName";"in"
"0";"false";"non_unique";"S_1";"STRING";"FullName";"in"
"0";"false";"duplicate";"S_1";"STRING";"FullName";"in"
"100";"false";"count";"S_2";"STRING";"GD";"in"
"39";"false";"count_nulls";"S_2";"STRING";"GD";"in"
"61";"false";"count_not_nulls";"S_2";"STRING";"GD";"in"
"20";"false";"distinct";"S_2";"STRING";"GD";"in"
"9";"false";"unique";"S_2";"STRING";"GD";"in"
"f";"false";"min";"S_2";"STRING";"GD";"in"
"phemail";"false";"max";"S_2";"STRING";"GD";"in"
"Female";"false";"median";"S_2";"STRING";"GD";"in"
"1";"false";"min_positive_length";"S_2";"STRING";"GD";"in"
"1";"false";"min_length";"S_2";"STRING";"GD";"in"
"7";"false";"max_length";"S_2";"STRING";"GD";"in"
"2.7868852459";"false";"avg_length";"S_2";"STRING";"GD";"in"
"1";"false";"median_length";"S_2";"STRING";"GD";"in"
"11";"false";"non_unique";"S_2";"STRING";"GD";"in"
"41";"false";"duplicate";"S_2";"STRING";"GD";"in"
"100";"false";"count";"S_3";"STRING";"CalculatedDate";"in"
"3";"false";"count_nulls";"S_3";"STRING";"CalculatedDate";"in"
"97";"false";"count_not_nulls";"S_3";"STRING";"CalculatedDate";"in"
"66";"false";"distinct";"S_3";"STRING";"CalculatedDate";"in"
"58";"false";"unique";"S_3";"STRING";"CalculatedDate";"in"
"01\\01\\1998";"false";"min";"S_3";"STRING";"CalculatedDate";"in"
"NULL";"false";"max";"S_3";"STRING";"CalculatedDate";"in"
"1984-05-21";"false";"median";"S_3";"STRING";"CalculatedDate";"in"
"3";"false";"min_positive_length";"S_3";"STRING";"CalculatedDate";"in"
"3";"false";"min_length";"S_3";"STRING";"CalculatedDate";"in"
"13";"false";"max_length";"S_3";"STRING";"CalculatedDate";"in"
"9.6288659794";"false";"avg_length";"S_3";"STRING";"CalculatedDate";"in"
"10";"false";"median_length";"S_3";"STRING";"CalculatedDate";"in"
"8";"false";"non_unique";"S_3";"STRING";"CalculatedDate";"in"
"31";"false";"duplicate";"S_3";"STRING";"CalculatedDate";"in"
"100";"false";"count";"S_4";"STRING";"BirthDate";"in"
"2";"false";"count_nulls";"S_4";"STRING";"BirthDate";"in"
"98";"false";"count_not_nulls";"S_4";"STRING";"BirthDate";"in"
"67";"false";"distinct";"S_4";"STRING";"BirthDate";"in"
"59";"false";"unique";"S_4";"STRING";"BirthDate";"in"
"01\\01\\1998";"false";"min";"S_4";"STRING";"BirthDate";"in"
"NULL";"false";"max";"S_4";"STRING";"BirthDate";"in"
"1992-04-29";"false";"median";"S_4";"STRING";"BirthDate";"in"
"3";"false";"min_positive_length";"S_4";"STRING";"BirthDate";"in"
"3";"false";"min_length";"S_4";"STRING";"BirthDate";"in"
"13";"false";"max_length";"S_4";"STRING";"BirthDate";"in"
"9.5204081633";"false";"avg_length";"S_4";"STRING";"BirthDate";"in"
"10";"false";"median_length";"S_4";"STRING";"BirthDate";"in"
"8";"false";"non_unique";"S_4";"STRING";"BirthDate";"in"
"31";"false";"duplicate";"S_4";"STRING";"BirthDate";"in"
"100";"false";"count";"S_5";"STRING";"Description";"in"
"75";"false";"count_nulls";"S_5";"STRING";"Description";"in"
"25";"false";"count_not_nulls";"S_5";"STRING";"Description";"in"
"2";"false";"distinct";"S_5";"STRING";"Description";"in"
"0";"false";"unique";"S_5";"STRING";"Description";"in"
"07801211963";"false";"min";"S_5";"STRING";"Description";"in"
"HI:123456";"false";"max";"S_5";"STRING";"Description";"in"
"HI:123456";"false";"median";"S_5";"STRING";"Description";"in"
"9";"false";"min_positive_length";"S_5";"STRING";"Description";"in"
"9";"false";"min_length";"S_5";"STRING";"Description";"in"
"11";"false";"max_length";"S_5";"STRING";"Description";"in"
"9.96";"false";"avg_length";"S_5";"STRING";"Description";"in"
"9";"false";"median_length";"S_5";"STRING";"Description";"in"
