"item-value";"stat-multiple";"stat-type";"ProfileInternalColumnName";"ProfileSourceAttributeType";"ProfileSourceAttributeName";"ProfileInputName"
"1";"true";"first_x";"S_0";"LONG";"RecID";"in"
"2";"true";"first_x";"S_0";"LONG";"RecID";"in"
"3";"true";"first_x";"S_0";"LONG";"RecID";"in"
"4";"true";"first_x";"S_0";"LONG";"RecID";"in"
"5";"true";"first_x";"S_0";"LONG";"RecID";"in"
"101";"true";"last_x";"S_0";"LONG";"RecID";"in"
"99";"true";"last_x";"S_0";"LONG";"RecID";"in"
"98";"true";"last_x";"S_0";"LONG";"RecID";"in"
"97";"true";"last_x";"S_0";"LONG";"RecID";"in"
"96";"true";"last_x";"S_0";"LONG";"RecID";"in"
"1";"true";"quantiles";"S_0";"LONG";"RecID";"in"
"10";"true";"quantiles";"S_0";"LONG";"RecID";"in"
"20";"true";"quantiles";"S_0";"LONG";"RecID";"in"
"30";"true";"quantiles";"S_0";"LONG";"RecID";"in"
"40";"true";"quantiles";"S_0";"LONG";"RecID";"in"
"50";"true";"quantiles";"S_0";"LONG";"RecID";"in"
"60";"true";"quantiles";"S_0";"LONG";"RecID";"in"
"70";"true";"quantiles";"S_0";"LONG";"RecID";"in"
"80";"true";"quantiles";"S_0";"LONG";"RecID";"in"
"90";"true";"quantiles";"S_0";"LONG";"RecID";"in"
"101";"true";"quantiles";"S_0";"LONG";"RecID";"in"
"A. Whitman";"true";"first_x";"S_1";"STRING";"FullName";"in"
"Adam Whitman RPA";"true";"first_x";"S_1";"STRING";"FullName";"in"
"Aguila Ammie";"true";"first_x";"S_1";"STRING";"FullName";"in"
"Alease Cusworth";"true";"first_x";"S_1";"STRING";"FullName";"in"
"Aleshia Kaszton";"true";"first_x";"S_1";"STRING";"FullName";"in"
"Zoll Kelvin";"true";"last_x";"S_1";"STRING";"FullName";"in"
"wyomi neles Ms";"true";"last_x";"S_1";"STRING";"FullName";"in"
"Whitney Bhatnagar";"true";"last_x";"S_1";"STRING";"FullName";"in"
"Wertman Annemarie";"true";"last_x";"S_1";"STRING";"FullName";"in"
"Watson Jane CPA";"true";"last_x";"S_1";"STRING";"FullName";"in"
"A. Whitman";"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Carline McPheron";"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Dirkse Jazmine";"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Handon Donette";"true";"quantiles";"S_1";"STRING";"FullName";"in"
"Karen Wolf";"true";"quantiles";"S_1";"STRING";"FullName";"in"
